layer,beta_ratio,layers,accuracy,accuracy_sd,semantic_drift,semantic_drift_sd,attention_entropy,attention_entropy_sd,coherence_proxy,n,accuracy_drop,drift_increase,entropy_increase,strange_score,strange_candidate
3,0.35,3,0.0,0.0,0.23038497149944306,0.024933002106679692,0.33227386970072986,0.004600724908661399,1.0,100,0.7,-0.17999280035495754,0.020142200952395828,1.4201422009523959,False
9,0.35,9,0.03,0.1714466079977653,0.4626653379201889,0.041183419444076205,0.3328916901163757,0.002683569699304399,1.0,100,0.6699999999999999,0.05228756606578827,0.02076002136804167,1.4130475874338297,False
5,0.35,5,0.02,0.14070529413628968,0.45082115709781645,0.08596444406959311,0.33563721945509317,0.0036114942959652443,0.99,100,0.6799999999999999,0.04044338524341584,0.023505550706759137,1.4097094465906732,False
8,0.35,8,0.05,0.21904291355759034,0.4559280103445053,0.04838130819646725,0.3319345418270677,0.002639662441350397,1.0,100,0.6499999999999999,0.0455502384901047,0.019802873078733685,1.3653531115688382,False
2,0.35,2,0.0,0.0,0.21688886269927024,0.12085461408810097,0.3734497210662812,0.005669564486131671,0.93,100,0.7,-0.19348890915513037,0.06131805231794718,1.359025788655691,False
10,0.35,10,0.07,0.25643239997624273,0.48914231959730387,0.07444217402291872,0.3269122265977785,0.002669018021366482,0.92,100,0.6299999999999999,0.07876454774290326,0.014780557849444487,1.2452614971449598,False
1,0.35,1,0.1,0.30151134457776363,0.20660723209381104,0.07077210185620997,0.3553068326693028,0.0027720474845417437,1.0,100,0.6,-0.20377053976058956,0.04317516392096876,1.2431751639209687,False
4,0.35,4,0.34,0.4760952285695234,0.37650649935007097,0.1519415902493932,0.34827687905170024,0.00399751086347024,0.9,100,0.35999999999999993,-0.03387127250432964,0.036145210303366204,0.6805306892730295,False
11,0.35,11,0.54,0.5009082659620331,0.41103186637163164,0.06017423423156252,0.3254132918594405,0.0027747630691392477,1.0,100,0.15999999999999992,0.0006540945172310297,0.013281623111106478,0.33393571762833735,False
7,0.35,7,0.55,0.5,0.41587314546108245,0.057780996903618376,0.33293432274833323,0.0028625284775443045,1.0,100,0.1499999999999999,0.0054953736066818415,0.0208026539999992,0.32629802760668086,False
15,0.35,15,0.62,0.48783173121456347,0.427997071146965,0.05666770445741124,0.34153170386329296,0.0027273634703330434,1.0,100,0.07999999999999996,0.017619299292564394,0.029400035114958922,0.20701933440752324,False
0,0.35,0,0.65,0.47937248544110234,0.3868281081318855,0.053096249226747674,0.3369731321465224,0.0030458631329733613,1.0,100,0.04999999999999993,-0.023549663722515102,0.02484146339818838,0.12484146339818825,False
14,0.35,14,0.89,0.3144660377352201,0.4619991758465767,0.0409340194223419,0.33338937927037476,0.002606540788245714,1.0,100,-0.19000000000000006,0.051621403992176074,0.02125771052204073,0.0728791145142168,False
13,0.35,13,0.71,0.4560480215720687,0.4581764566898346,0.04728260308213638,0.33348664906341585,0.002852349966612292,1.0,100,-0.010000000000000009,0.04779868483543398,0.021354980315081817,0.0691536651505158,False
12,0.35,12,0.71,0.45604802157206864,0.4517619612812996,0.062133900328281845,0.3240156317129731,0.0027593817260412254,1.0,100,-0.010000000000000009,0.041384189426898976,0.011883962964639061,0.05326815239153804,False
6,0.35,6,0.75,0.4351941398892446,0.28332367420196536,0.12397472595449627,0.3342410869523883,0.0027543937306579,1.0,100,-0.050000000000000044,-0.12705409765243525,0.022109418204054265,0.022109418204054265,False
